tokens	predicted	tags
oke	O	O
berikut	O	O
review	O	O
kami	O	O
untuk	O	O
wish	B-MVT	B-MVT
2023	B-YEAR	B-YEAR
wmidreview	O	O
budi	B-MVT	B-MVT
pekerti	I-MVT	I-MVT
2023	B-YEAR	B-YEAR
rating	O	O
wibu	O	O
10	O	O
dari	O	O
segi	O	O
kualitas	O	O
animasi	O	O
tidak	O	O
banyak	O	O
yang	O	O
bisa	O	O
dibahas	O	O
dari	O	O
spy	B-MVT	B-MVT
family	I-MVT	I-MVT
code	I-MVT	I-MVT
white	I-MVT	I-MVT
ini	O	O
animasinya	O	O
memang	O	O
sedikit	O	O
lebih	O	O
baik	O	O
mungkin	O	O
pengaruh	O	O
dari	O	O
layar	O	O
besar	O	O
tapi	O	O
tidak	O	O
jauh	O	O
berbeda	O	O
dengan	O	O
apa	O	O
yang	O	O
biasa	O	O
kita	O	O
lihat	O	O
di	O	O
serial	O	O
animenya	O	O
kembang	B-CHAR	B-CHAR
dan	O	O
purnama	B-CHAR	B-CHAR
dua	O	O
kakak	O	O
beradik	O	O
berniat	O	O
menikmati	O	O
liburan	O	O
ke	O	O
sebuah	O	O
resort	O	O
sialnya	O	O
perjalanan	O	O
mereka	O	O
di	O	O
atas	O	O
kereta	O	O
menuju	O	O
resort	O	O
tidak	O	O
semulus	O	O
itu	O	O
dikarenakan	O	O
terror	O	O
jin	B-CHAR	O
yang	O	O
datang	O	O
tanpa	O	O
henti	O	O
setiap	O	O
melewati	O	O
terowongan	O	O
emang	O	O
gimana	O	O
kok	O	O
bisa	O	O
jin	B-CHAR	O
masuk	O	O
kereta	O	O
intinya	O	O
madame	B-MVT	B-MVT
web	I-MVT	I-MVT
bercerita	O	O
tentang	O	O
cassandra	B-CHAR	B-CHAR
webb	I-CHAR	I-CHAR
or	O	O
cassie	B-CHAR	B-CHAR
seorang	O	O
paramedic	B-CHAR	O
yang	O	O
punya	O	O
kekuatan	O	O
cenayang	O	O
bisa	O	O
ngelihat	O	O
