	tokens	tags
0	oke	O
1	berikut	O
2	review	O
3	kami	O
4	untuk	O
5	wish	B-MVT
6	2023	B-YEAR
7	wmidreview	O
8	budi	B-MVT
9	pekerti	I-MVT
10	2023	B-YEAR
11	rating	O
12	wibu	O
13	10	O
14	dari	O
15	segi	O
16	kualitas	O
17	animasi	O
18	tidak	O
19	banyak	O
20	yang	O
21	bisa	O
22	dibahas	O
23	dari	O
24	spy	B-MVT
25	family	I-MVT
26	code	I-MVT
27	white	I-MVT
28	ini	O
29	animasinya	O
30	memang	O
31	sedikit	O
32	lebih	O
33	baik	O
34	mungkin	O
35	pengaruh	O
36	dari	O
37	layar	O
38	besar	O
39	tapi	O
40	tidak	O
41	jauh	O
42	berbeda	O
43	dengan	O
44	apa	O
45	yang	O
46	biasa	O
47	kita	O
48	lihat	O
49	di	O
50	serial	O
51	animenya	O
52	kembang	B-CHAR
53	dan	O
54	purnama	B-CHAR
55	dua	O
56	kakak	O
57	beradik	O
58	berniat	O
59	menikmati	O
60	liburan	O
61	ke	O
62	sebuah	O
63	resort	O
64	sialnya	O
65	perjalanan	O
66	mereka	O
67	di	O
68	atas	O
69	kereta	O
70	menuju	O
71	resort	O
72	tidak	O
73	semulus	O
74	itu	O
75	dikarenakan	O
76	terror	O
77	jin	B-CHAR
78	yang	O
79	datang	O
80	tanpa	O
81	henti	O
82	setiap	O
83	melewati	O
84	terowongan	O
85	emang	O
86	gimana	O
87	kok	O
88	bisa	O
89	jin	B-CHAR
90	masuk	O
91	kereta	O
92	intinya	O
93	madame	B-MVT
94	web	I-MVT
95	bercerita	O
96	tentang	O
97	cassandra	B-CHAR
98	webb	I-CHAR
99	or	O
100	cassie	B-CHAR
101	seorang	O
102	paramedic	B-CHAR
103	yang	O
104	punya	O
105	kekuatan	O
106	cenayang	O
107	bisa	O
108	ngelihat	O
109	masa	O
110	depan	O
111	banyak	O
112	detail	O
113	detail	O
114	kecil	O
115	yang	O
116	terjadi	O
117	di	O
118	belakang	O
119	yang	O
120	biasanya	O
121	terabaikan	O
122	tapi	O
123	ternyata	O
124	detail	O
125	detail	O
126	tersebut	O
127	adalah	O
128	sesuatu	O
129	yang	O
130	secara	O
131	subtle	O
132	bakal	O
133	terungkap	O
134	siap	O
135	siap	O
136	aja	O
137	ketemu	O
138	oalahhh	O
139	moment	O
140	subtle	O
141	is	O
142	key	O
143	namun	O
144	selain	O
145	ketawa	O
146	siap	O
147	siap	O
148	sama	O
149	beberapa	O
150	adegan	O
151	yang	O
152	bikin	O
153	ga	O
154	nyaman	O
155	dan	O
156	bikin	O
157	frustasi	O
158	ga	O
159	heran	O
160	di	O
161	luar	O
162	negeri	O
163	film	O
164	ini	O
165	dapat	O
166	rating	O
167	r	O
168	dewasa	O
169	jika	O
170	ditelaah	O
171	lebih	O
172	dalam	O
173	film	O
174	ini	O
175	emang	O
176	cukup	O
177	dark	O
178	musik	O
179	menjadi	O
180	poin	O
181	yang	O
182	selalu	O
183	ditunggu	O
184	di	O
185	pelem	O
186	pelem	O
187	disney	B-STUD
188	lagu	O
189	lagu	O
190	yang	O
191	dibikin	O
192	untuk	O
193	film	O
194	ini	O
195	sebut	O
196	aja	O
197	this	O
198	wish	O
199	this	O
200	is	O
201	the	O
202	thanks	O
203	i	O
204	get	O
205	atau	O
206	knowing	O
207	what	O
208	i	O
209	know	O
210	now	O
211	bener	O
212	bener	O
213	klop	O
214	sama	O
215	ceritanya	O
216	ditambah	O
217	dengan	O
218	visualisasi	O
219	yang	O
220	mezmerizing	O
221	meski	O
222	kami	O
223	ngerasa	O
224	harusnya	O
225	revenge	O
226	nya	O
227	si	O
228	black	B-MVT
229	manta	I-CHAR
230	ini	O
231	punya	O
232	potensi	O
233	lebih	O
234	kerasa	O
235	grande	O
236	tapi	O
237	action	O
238	battle	O
239	nya	O
240	lawan	O
241	aquaman	B-MVT
242	tetep	O
243	keren	O
244	banget	O
245	segala	O
246	macem	O
247	shot	O
248	dan	O
249	camera	O
250	works	O
251	nya	O
252	mantep	O
253	didukung	O
254	dengan	O
255	lagu	O
256	yang	O
257	asik	O
258	bikin	O
259	battle	O
260	scenenya	O
261	semakin	O
262	mompa	O
263	adrenalin	O
264	satu	O
265	lagi	O
266	yang	O
267	mungkin	O
268	cukup	O
269	bikin	O
270	kami	O
271	terganggu	O
272	adalah	O
273	bumbu	O
274	romansa	B-GEN
275	antara	O
276	rendi	B-CHAR
277	dan	O
278	dira	B-CHAR
279	yang	O
280	nggak	O
281	banget	O
282	secara	O
283	chemistry	O
284	nol	O
285	secara	O
286	jalan	O
287	cerita	O
288	pun	O
289	maksa	O
290	keliatan	O
291	supaya	O
292	ada	O
293	oh	O
294	ada	O
295	cinta	O
296	cintaannya	O
297	bukan	O
298	chemistry	O
299	adanya	O
300	malah	O
301	cringemistry	O
302	oke	O
303	berikut	O
304	review	O
305	kami	O
306	untuk	O
307	wonka	B-MVT
308	2023	B-YEAR
309	wmidreview	O
310	dari	O
311	judulnya	O
312	aja	O
313	kami	O
314	sudah	O
315	berekspektasi	O
316	film	O
317	ini	O
318	bakalan	O
319	menyajikan	O
320	aksi	O
321	teror	O
322	kejar	O
323	kejaran	O
324	yang	O
325	sangat	O
326	brutal	O
327	dan	O
328	berdarah	O
329	darah	O
330	yah	O
331	pokoknya	O
332	bakal	O
333	jahanam	O
334	banget	O
335	sih	O
336	filmnya	O
337	tone	O
338	film	O
339	nya	O
340	ga	O
341	se	O
342	kuning	O
343	film	O
344	falcon	B-GEN
345	lainnya	O
346	set	O
347	design	O
348	nya	O
349	rapih	O
350	tapi	O
351	at	O
352	some	O
353	point	O
354	terlalu	O
355	rapih	O
356	sehingga	O
357	kelihatan	O
358	kurang	O
359	natural	O
360	dan	O
361	terasa	O
362	fabrikasinya	O
363	seperti	O
364	setting	O
365	di	O
366	rumah	O
367	maupun	O
368	di	O
369	kantor	O
370	trinil	B-MVT
371	kembalikan	I-MVT
372	tubuhku	I-MVT
373	2024	B-YEAR
374	rating	O
375	maumu	O
376	apa	O
377	setan	O
378	10	O
379	soundtrack	O
380	film	O
381	ini	O
382	diisi	O
383	oleh	O
384	official	O
385	hige	B-CHAR
386	dandism	I-CHAR
387	dengan	O
388	judul	O
389	soulsoup	B-MVT
390	dan	O
391	gen	B-ACT
392	hoshino	I-ACT
393	dengan	O
394	judul	O
395	hikari	B-MVT
396	no	I-MVT
397	ato	O
398	sepanjang	O
399	end	O
400	credit	O
401	kita	O
402	bakal	O
403	ditemenin	O
404	2	O
405	lagu	O
406	itu	O
407	dan	O
408	bakal	O
409	ada	O
410	anya	B-CHAR
411	dengan	O
412	animasi	O
413	sederhana	O
414	ikut	O
415	nemenin	O
416	juga	O
417	alienoid	B-MVT
418	return	I-MVT
419	to	I-MVT
420	the	I-MVT
421	future	I-MVT
422	2024	B-YEAR
423	rating	O
424	taksiiii	O
425	10	O
426	ada	O
427	rasa	O
428	lho	O
429	gini	O
430	aja	O
431	endingnya	O
432	saat	O
433	credit	O
434	roll	O
435	akhirnya	O
436	bergulir	O
437	di	O
438	akhir	O
439	film	O
440	sebuah	O
441	cara	O
442	yang	O
443	menurut	O
444	kami	O
445	sangat	O
446	tepat	O
447	untuk	O
448	mengakhiri	O
449	rangkaian	O
450	kisah	O
451	di	O
452	dalam	O
453	filmnya	O
454	rasa	O
455	bengong	O
456	dan	O
457	feel	O
458	kosong	O
459	itu	O
460	yang	O
461	harus	O
462	siap	O
463	dihadapi	O
464	sebagian	O
465	besar	O
466	penontonnya	O
467	namun	O
468	bagi	O
469	yang	O
470	belum	O
471	pernah	O
472	mengikuti	O
473	serial	O
474	the	B-MVT
475	hunger	I-MVT
476	games	I-MVT
477	mungkin	O
478	bakal	O
479	ngerasa	O
480	kepanjangan	O
481	karena	O
482	klimaks	O
483	hanya	O
484	sampai	O
485	2	O
486	3	O
487	film	O
488	sedangkan	O
489	endingnya	O
490	lebih	O
491	ke	O
492	character	O
493	driven	O
494	storyline	O
495	kereta	B-MVT
496	berdarah	I-MVT
497	sebenarnya	O
498	membawa	O
499	pesan	O
500	moral	O
501	yang	O
502	penting	O
503	buat	O
504	kehidupan	O
505	kita	O
506	dan	O
507	berhasil	O
508	menyampaikannya	O
509	dengan	O
510	cara	O
511	yang	O
512	bikin	O
513	greget	O
514	dan	O
515	gemes	O
516	kendalanya	O
517	ya	O
518	cuma	O
519	naskahnya	O
520	yang	O
521	bikin	O
522	jalan	O
523	ceritanya	O
524	b	O
525	aja	O
526	yang	O
527	bikin	O
528	antusias	O
529	menurun	O
530	di	O
531	beberapa	O
532	bagian	O
533	filmnya	O
534	ancika	B-MVT
535	dia	I-MVT
536	yang	I-MVT
537	bersamaku	I-MVT
538	1995	I-MVT
539	2024	B-YEAR
540	rating	O
541	bajingan	O
542	10	O
543	urusan	O
544	akting	O
545	3	O
546	karakter	O
547	utamanya	O
548	mampu	O
549	menunjukkan	O
550	show	O
551	don	O
552	t	O
553	tell	O
554	lewat	O
555	performa	O
556	akting	O
557	yang	O
558	ciamik	O
559	kita	O
560	bisa	O
561	lihat	O
562	dan	O
563	percaya	O
564	nora	B-CHAR
565	dan	O
566	hae	B-ACT
567	sung	I-ACT
568	saling	O
569	suka	O
570	kita	O
571	juga	O
572	bisa	O
573	lihat	O
574	dan	O
575	percaya	O
576	arthur	B-CHAR
577	canggung	O
578	berada	O
579	di	O
580	antara	O
581	mereka	O
582	tanpa	O
583	banyak	O
584	dialog	O
585	menyertainya	O
586	karakter	O
587	asha	B-CHAR
588	sendiri	O
589	terasa	O
590	masih	O
591	50	O
592	50	O
593	buat	O
594	menjadi	O
